/Users/volodimir/PycharmProjects/ML-1-Task/.venv/bin/python /Users/volodimir/PycharmProjects/ML-1-Task/monte_carlo_control_on_policy.py
Sarsa with different hyperparameters
Hyperparameters: [experiment, alpha, gamma, epsilon, decay rate, episodes, use_random_values, action_space_steps, obs_space_steps]
Episode 182/500 done, steps: 1999
Episode 183/500 done, steps: 2415
Episode 184/500 done, steps: 555
Episode 185/500 done, steps: 450
Episode 186/500 done, steps: 2775
Episode 187/500 done, steps: 568
Episode 188/500 done, steps: 1639
Episode 189/500 done, steps: 1377
Episode 190/500 done, steps: 2114
Episode 191/500 done, steps: 3378
Episode 192/500 done, steps: 1322
Episode 193/500 done, steps: 1907
Episode 194/500 done, steps: 1599
Episode 195/500 done, steps: 1138
Episode 196/500 done, steps: 668
Episode 197/500 done, steps: 1466
Episode 198/500 done, steps: 3148
Episode 199/500 done, steps: 1776
Episode 200/500 done, steps: 1429
Episode 201/500 done, steps: 1772
Episode 202/500 done, steps: 4183
Episode 203/500 done, steps: 712
Episode 204/500 done, steps: 910
Episode 205/500 done, steps: 654
Episode 206/500 done, steps: 3913
Episode 207/500 done, steps: 516
Episode 208/500 done, steps: 753
Episode 209/500 done, steps: 4186
Episode 210/500 done, steps: 1511
Episode 211/500 done, steps: 722
Episode 212/500 done, steps: 1475
Episode 213/500 done, steps: 3852
Episode 214/500 done, steps: 4962
Episode 215/500 done, steps: 1186
Episode 216/500 done, steps: 1987
Episode 217/500 done, steps: 2564
Episode 218/500 done, steps: 2125
Episode 219/500 done, steps: 1054
Episode 220/500 done, steps: 7141
Episode 221/500 done, steps: 821
Episode 222/500 done, steps: 829
Episode 223/500 done, steps: 1685
Episode 224/500 done, steps: 744
Episode 225/500 done, steps: 2137
Episode 226/500 done, steps: 3452
Episode 227/500 done, steps: 1308
Episode 228/500 done, steps: 386
Episode 229/500 done, steps: 2307
Episode 230/500 done, steps: 3407
Episode 231/500 done, steps: 717
Episode 232/500 done, steps: 1619
Episode 233/500 done, steps: 1485
Episode 234/500 done, steps: 1484
Episode 235/500 done, steps: 592
Episode 236/500 done, steps: 2782
Episode 237/500 done, steps: 1528
Episode 238/500 done, steps: 1613
Episode 239/500 done, steps: 1601
Episode 240/500 done, steps: 373
Episode 241/500 done, steps: 3569
Episode 242/500 done, steps: 1140
Episode 243/500 done, steps: 1052
Episode 244/500 done, steps: 494
Episode 245/500 done, steps: 1448
Episode 246/500 done, steps: 577
Episode 247/500 done, steps: 1040
Episode 248/500 done, steps: 677
Episode 249/500 done, steps: 866
Episode 250/500 done, steps: 789
Episode 251/500 done, steps: 6628
Episode 252/500 done, steps: 1167
Episode 253/500 done, steps: 1880
Episode 254/500 done, steps: 962
Episode 255/500 done, steps: 1286
Episode 256/500 done, steps: 3203
Episode 257/500 done, steps: 1962
Episode 258/500 done, steps: 1583
Episode 259/500 done, steps: 356
Episode 260/500 done, steps: 6465
Episode 261/500 done, steps: 2260
Episode 262/500 done, steps: 4310
Episode 263/500 done, steps: 2968
Episode 264/500 done, steps: 434
Episode 265/500 done, steps: 777
Episode 266/500 done, steps: 1065
Episode 267/500 done, steps: 2281
Episode 268/500 done, steps: 2615
Episode 269/500 done, steps: 4678
Episode 270/500 done, steps: 1337
Episode 271/500 done, steps: 1488
Episode 272/500 done, steps: 1104
Episode 273/500 done, steps: 963
Episode 274/500 done, steps: 1889
Episode 275/500 done, steps: 1216
Episode 276/500 done, steps: 1538
Episode 277/500 done, steps: 1305
Episode 278/500 done, steps: 1312
Episode 279/500 done, steps: 2434
Episode 280/500 done, steps: 1296
Episode 281/500 done, steps: 3417
Episode 282/500 done, steps: 991
Episode 283/500 done, steps: 1642
Episode 284/500 done, steps: 2250
Episode 285/500 done, steps: 3322
Episode 286/500 done, steps: 1000
Episode 287/500 done, steps: 4211
Episode 288/500 done, steps: 891
Episode 289/500 done, steps: 443
Episode 290/500 done, steps: 4377
Episode 291/500 done, steps: 1736
Episode 292/500 done, steps: 1790
Episode 293/500 done, steps: 1510
Episode 294/500 done, steps: 1522
Episode 295/500 done, steps: 817
Episode 296/500 done, steps: 1005
Episode 297/500 done, steps: 3285
Episode 298/500 done, steps: 7697
Episode 299/500 done, steps: 2609
Episode 300/500 done, steps: 3421
Episode 301/500 done, steps: 3089
Episode 302/500 done, steps: 2217
Episode 303/500 done, steps: 1336
Episode 304/500 done, steps: 2420
Episode 305/500 done, steps: 7138
Episode 306/500 done, steps: 1872
Episode 307/500 done, steps: 4003
Episode 308/500 done, steps: 1291
Episode 309/500 done, steps: 1810
Episode 310/500 done, steps: 1614
Episode 311/500 done, steps: 1566
Episode 312/500 done, steps: 1489
Episode 313/500 done, steps: 1475
Episode 314/500 done, steps: 723
Episode 315/500 done, steps: 7715
Episode 316/500 done, steps: 654
Episode 317/500 done, steps: 2345
Episode 318/500 done, steps: 1788
Episode 319/500 done, steps: 3097
Episode 320/500 done, steps: 919
Episode 321/500 done, steps: 1274
Episode 322/500 done, steps: 908
Episode 323/500 done, steps: 1528
Episode 324/500 done, steps: 1378
Episode 325/500 done, steps: 2296
Episode 326/500 done, steps: 3114
Episode 327/500 done, steps: 1257
Episode 328/500 done, steps: 1947
Episode 329/500 done, steps: 1563
Episode 330/500 done, steps: 591
Episode 331/500 done, steps: 4516
Episode 332/500 done, steps: 947
Episode 333/500 done, steps: 4062
Episode 334/500 done, steps: 648
Episode 335/500 done, steps: 6083
Episode 336/500 done, steps: 1301
Episode 337/500 done, steps: 4906
Episode 338/500 done, steps: 3856
Episode 339/500 done, steps: 2186
Episode 340/500 done, steps: 637
Episode 341/500 done, steps: 524
Episode 342/500 done, steps: 1221
Episode 343/500 done, steps: 2852
Episode 344/500 done, steps: 1155
Episode 345/500 done, steps: 1099
Episode 346/500 done, steps: 2022
Episode 347/500 done, steps: 514
Episode 348/500 done, steps: 3330
Episode 349/500 done, steps: 2266
Episode 350/500 done, steps: 878
Episode 351/500 done, steps: 6348
Episode 352/500 done, steps: 824
Episode 353/500 done, steps: 534
Episode 354/500 done, steps: 738
Episode 355/500 done, steps: 1408
Episode 356/500 done, steps: 1325
Episode 357/500 done, steps: 1080
Episode 358/500 done, steps: 8350
Episode 359/500 done, steps: 888
Episode 360/500 done, steps: 1996
Episode 361/500 done, steps: 565
Episode 362/500 done, steps: 3399
Episode 363/500 done, steps: 893
Episode 364/500 done, steps: 5064
Episode 365/500 done, steps: 364
Episode 366/500 done, steps: 1104
Episode 367/500 done, steps: 2137
Episode 368/500 done, steps: 2473
Episode 369/500 done, steps: 2721
Episode 370/500 done, steps: 667
Episode 371/500 done, steps: 3593
Episode 372/500 done, steps: 2693
Episode 373/500 done, steps: 2743
Episode 374/500 done, steps: 1244
Episode 375/500 done, steps: 3603
Episode 376/500 done, steps: 1704
Episode 377/500 done, steps: 1313
Episode 378/500 done, steps: 1418
Episode 379/500 done, steps: 1697
Episode 380/500 done, steps: 2306
Episode 381/500 done, steps: 1637
Episode 382/500 done, steps: 935
Episode 383/500 done, steps: 2547
Episode 384/500 done, steps: 1247
Episode 385/500 done, steps: 4909
Episode 386/500 done, steps: 3502
Episode 387/500 done, steps: 865
Episode 388/500 done, steps: 1929
Episode 389/500 done, steps: 5181
Episode 390/500 done, steps: 741
Episode 391/500 done, steps: 812
Episode 392/500 done, steps: 4069
Episode 393/500 done, steps: 5936
Episode 394/500 done, steps: 863
Episode 395/500 done, steps: 921
Episode 396/500 done, steps: 1402
Episode 397/500 done, steps: 1306
Episode 398/500 done, steps: 1224
Episode 399/500 done, steps: 2229
Episode 400/500 done, steps: 1946
Episode 401/500 done, steps: 925
Episode 402/500 done, steps: 855
Episode 403/500 done, steps: 1050
Episode 404/500 done, steps: 1020
Episode 405/500 done, steps: 4356
Episode 406/500 done, steps: 2413
Episode 407/500 done, steps: 837
Episode 408/500 done, steps: 4265
Episode 409/500 done, steps: 2397
Episode 410/500 done, steps: 357
Episode 411/500 done, steps: 6912
Episode 412/500 done, steps: 2632
Episode 413/500 done, steps: 1600
Episode 414/500 done, steps: 1521
Episode 415/500 done, steps: 1569
Episode 416/500 done, steps: 7878
Episode 417/500 done, steps: 1344
Episode 418/500 done, steps: 1331
Episode 419/500 done, steps: 3134
Episode 420/500 done, steps: 896
Episode 421/500 done, steps: 1947
Episode 422/500 done, steps: 1779
Episode 423/500 done, steps: 756
Episode 424/500 done, steps: 4024
Episode 425/500 done, steps: 1103
Episode 426/500 done, steps: 744
Episode 427/500 done, steps: 2584
Episode 428/500 done, steps: 898
Episode 429/500 done, steps: 5620
Episode 430/500 done, steps: 2224
Episode 431/500 done, steps: 2832
Episode 432/500 done, steps: 2454
Episode 433/500 done, steps: 1719
Episode 434/500 done, steps: 3768
Episode 435/500 done, steps: 2295
Episode 436/500 done, steps: 4369
Episode 437/500 done, steps: 1787
Episode 438/500 done, steps: 4240
Episode 439/500 done, steps: 2323
Episode 440/500 done, steps: 603
Episode 441/500 done, steps: 480
Episode 442/500 done, steps: 1761
Episode 443/500 done, steps: 1886
Episode 444/500 done, steps: 1602
Episode 445/500 done, steps: 3018
Episode 446/500 done, steps: 8780
Episode 447/500 done, steps: 4625
Episode 448/500 done, steps: 1853
Episode 449/500 done, steps: 448
Episode 450/500 done, steps: 1289
Episode 451/500 done, steps: 902
Episode 452/500 done, steps: 1381
Episode 453/500 done, steps: 2900
Episode 454/500 done, steps: 1645
